id,name,type,age,role,representation,position
VfB,VfB,2,NA,NA,NA,NA
TH,Thomas Hitzlsperger,1,2,V,4,1
SH,Stefan Heim,1,2,V,2,3
JR,Jochen Roettgermann,1,3,V,3,3
OS,Oliver Schraft,1,3,V,5,3
CV,Claus Vogt,1,3,AR,1,1
WP,Wilfried Porth,1,4,AR,1,2
RA,Rainer Adrion,1,4,AR,4,3
BG,Dr Bernd Gaiser,1,3,AR,1,3
HJ,Hartmut Jenner,1,3,AR,1,3
HO,Hermann Ohlicher,1,4,AR,4,3
FR,Franz Reiner,1,3,AR,1,3
BS,Dr Bertram Sugg,1,3,AR,6,3
FC Bayern Muenchen,FC Bayern Muenchen,2,NA,NA,NA,NA
Aston Villa,Aston Villa,2,NA,NA,NA,NA
ARD,ARD,2,NA,NA,NA,NA
VfB Reha,VfB Reha-Welt GmbH,2,NA,NA,NA,NA
Stadion NeckarPark,Stadion NeckarPark GmbH & Co. KG,2,NA,NA,NA,NA
VfB Arena Betrieb,VfB Stuttgart Arena Betriebs GmbH,2,NA,NA,NA,NA
VfB Marketing,VfB Stuttgart Marketing GmbH,2,NA,NA,NA,NA
VfB Beteiligung,VfB Stuttgart Beteiligungs GmbH,2,NA,NA,NA,NA
Württembergischer Fußballverband,Württembergischer Fußballverband,2,NA,NA,NA,NA
Nachwuchszentrum VfB,Nachwuchszentrum VfB,2,NA,NA,NA,NA
Sponsorcom,Sponsorcom,2,NA,NA,NA,NA
IMG,International Management Group ,2,NA,NA,NA,NA
inStuttgart,inStuttgart,2,NA,NA,NA,NA
VfL Wolfsburg,VfL Wolfsburg,2,NA,NA,NA,NA
Kommission Clubmedien,Kommission Clubmedien,2,NA,NA,NA,NA
Robert Bosch,Robert Bosch GmbH,2,NA,NA,NA,NA
Haniel Konzern,Haniel Konzern,2,NA,NA,NA,NA
Metro Group,Metro Group,2,NA,NA,NA,NA
Intesia Group Holding,Intesia Group Holding GmbH,2,NA,NA,NA,NA
FC PlayFair,FC PlayFair! Verein für Integritaet im Profifußball e.V.,2,NA,NA,NA,NA
Horvath & Partners,Horvath & Partners Management Consultants,2,NA,NA,NA,NA
RECARO Holding,RECARO Holding GmbH,2,NA,NA,NA,NA
Alfred Kaercher SE,Alfred Kaercher SE & Co. KG.,2,NA,NA,NA,NA
Alfred-Kärcher-Foerderstiftung,Alfred-Kärcher-Foerderstiftung,2,NA,NA,NA,NA
Lotto GmbH,Staatlichen Toto Lotto GmbH Baden-Wuerttemberg,2,NA,NA,NA,NA
Mercedes-Benz Finanz,Mercedes-Benz Finanz GmbH,2,NA,NA,NA,NA
Mercedes-Benz Bank,Mercedes-Benz Bank AG,2,NA,NA,NA,NA
Daimler Financial Services,Daimler Financial Services AG,2,NA,NA,NA,NA
Daimler Mobility,Daimler Mobility AG,2,NA,NA,NA,NA
Courage Gerlingen,Fanclub Courage Gerlingen,2,NA,NA,NA,NA
Daimler AG,Daimler AG,2,NA,NA,NA,NA