id,name,sex,influence,age,position,type,industry,country,source1,source2
KTG,Karl-Theodor zu Guttenberg,2,4,3,1,1,6,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
GW,Georg Waldenfels,2,3,4,2,1,1,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
Wirecard,Wirecard,NA,NA,NA,NA,2,1,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
AM,Angela Merkel,1,5,4,2,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
UG,Ulf Gartzke,2,3,3,2,1,6,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
WS,Wolfgang Schmidt,2,3,3,2,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
MB,Markus Braun,2,4,3,1,1,1,Austria,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
MP,Michael Papageorgiou,2,3,3,3,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
SB,Dr. Silvia Bosch,2,4,3,2,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
JOP,Jan-Ole Peters,2,3,3,2,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
CR,Chinesische Regierung,NA,NA,NA,NA,2,5,China,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
LHR,Prof. Dr. Lars-Hendrik Röller,2,4,4,2,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MS1wYS0zdWEtODEyMjQ0&mod=mod796592
Spitzberg,Spitzberg Partners,NA,NA,NA,NA,2,6,USA,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
KSF,Klaus-Dieter Fritsche,2,4,4,2,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
OvB,Ole von Beust,2,3,4,2,1,6,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
FPÖ,FPÖ,NA,NA,NA,NA,2,5,Austria,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
Von Veust & Coll,Von Beust & Coll,NA,NA,NA,NA,2,6,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
BL,Burkhardt Ley,2,4,4,2,1,1,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtODE2MTQ4&mod=mod796592
MC,Dr. Markus Chromik,2,4,3,2,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
Commerzbank AG,Commerzbank AG,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
MZ,Martin Zielke,2,4,3,1,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
MK,Markus Kramer,2,3,3,2,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
KPMG,KPMG,NA,NA,NA,NA,2,6,Netherlands,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
KM,Klaus R. Michalak,2,4,4,1,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
Financial Times,Financial Times,NA,NA,NA,NA,2,3,UK,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
Ernst & Young,Ernst & Young,NA,NA,NA,NA,2,5,UK,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
BaFin,Bundesanstalt für Finanzdienstleistungsaufsicht,NA,NA,NA,NA,2,6,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
BayernLB,Bayerische Landesbank,NA,NA,NA,NA,2,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZG8tODE2NDU4&mod=mod796592
KfW IPEX-Bank,KfW IPEX-Bank GmbH,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
OB,Oliver Bellenhaus,2,3,3,1,1,1,VAE,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c0Ny1wYS0zdWEtODA2MzMy&mod=mod796592
RB,Ralf Bose,2,2,3,1,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
NK,Naif Kanwan,2,2,NA,2,1,6,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
MK,Martin Kocks,2,2,NA,2,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
CO,Christian Orth,2,3,3,1,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
MM,Martin Mulzer,2,2,,2,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNC1wYS0zdWEtZG9ubmVyc3RhZy04MTg1NzQ=&mod=mod796592
WK,Waldemar Kindler,2,5,4,1,1,7,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNC1wYS0zdWEtZG9ubmVyc3RhZy04MTg1NzQ=&mod=mod796592
DB,Dorothee Bär,1,5,3,1,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNC1wYS0zdWEtZG9ubmVyc3RhZy04MTg1NzQ=&mod=mod796592
CG,Chinesischer Generalkonsulat,NA,5,NA,1,2,5,China,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNC1wYS0zdWEtZG9ubmVyc3RhZy04MTg1NzQ=&mod=mod796592
PB,Polizeibehörden,NA,NA,NA,NA,2,7,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNC1wYS0zdWEtZG9ubmVyc3RhZy04MTg1NzQ=&mod=mod796592
HÜSt,Handelsüberwachungsstelle der Frankfurter Wertpapierbörse,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNi1wYS0zdWEtZG9ubmVyc3RhZy04MjA2NDA=&mod=mod796592
DPR,Deutsche Prüfstelle für Rechnungslegung,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNi1wYS0zdWEtZG9ubmVyc3RhZy04MjA2NDA=&mod=mod796592
SA,Staatsanwaltschaft Niederbayern,NA,NA,NA,NA,2,4,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNi1wYS0zdWEtZnJlaXRhZy04MjA2NDI=&mod=mod796592
APAS,Abschlussprüferaufsichtskommission,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
PwC,PricewaterhouseCoopers,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
Deloitte,Deloitte Wirtschaftsprüfungsgesellschaft,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592